sim_max,sim_mean,sim_std,sim_min,entail_max,entail_mean,entail_std,contradict_max,contradict_mean,sim_ent_mean,sim_ent_max,sim_contr_mean,support_score,strong_support_count,strong_contradict_count,label,year,month
0.7059016227722168,0.6466587066650391,0.03587531104288031,0.609647274017334,0.00048650804,0.00019536419,0.00018213646,0.6183718,0.12378134,0.00012686384629191448,0.00032502369765238966,0.07629787128451541,0.00012686384629191448,0,0,0,2024,1
0.6676511764526367,0.629358959197998,0.024228589580831766,0.5989469289779663,0.00021747722,0.00013887782,6.6530265e-05,0.99875367,0.39801922,8.698180649185979e-05,0.0001343107884650748,0.25581469845921473,8.698180649185979e-05,0,0,0,2024,1
0.47547414898872375,0.3979892909526825,0.04116330457073389,0.3631865680217743,0.001948668,0.0006672406,0.00067472586,0.99997103,0.37625575,0.00026353518440821777,0.0007332775249907324,0.14389875360626025,0.00026353518440821777,0,0,1,2024,1
0.5986363887786865,0.577752435207367,0.016935071695688655,0.555012583732605,3.1338797e-05,8.994195e-06,1.1190362e-05,0.9999771,0.9998568,5.263081326959025e-06,1.848640026005043e-05,0.5776683853865435,5.263081326959025e-06,0,0,0,2024,1
0.6014336347579956,0.5439793109893799,0.03181841686207847,0.5159287452697754,7.4696305e-05,4.955519e-05,1.445791e-05,0.0025275568,0.00066578796,2.695329948877627e-05,3.8942261678798565e-05,0.00038763531712035363,2.695329948877627e-05,0,0,1,2024,1
0.4858252704143524,0.41803141236305236,0.053994845742390586,0.36399608850479126,0.0023548407,0.0005441755,0.00090576644,0.99907815,0.397708,0.00021669146957079157,0.0009333684919204666,0.14504842851081307,0.00021669146957079157,0,0,1,2024,1
0.5717639327049255,0.5454712271690368,0.02440005622455463,0.504052996635437,0.00031798863,8.8429675e-05,0.00011490558,0.99918824,0.41483003,4.769867726558152e-05,0.00017032174206685347,0.2320933962215071,4.769867726558152e-05,0,0,0,2024,1
0.5126128196716309,0.44174169898033144,0.04199222926082613,0.39174312353134155,0.0035945056,0.00076532393,0.001415189,0.9979365,0.39939198,0.00030190795978279645,0.0014081228515421818,0.16164802304163728,0.00030190795978279645,0,0,1,2024,1
0.6319893002510071,0.5160630345344543,0.07583395193996945,0.4445843994617462,0.0016354219,0.00038712536,0.00062670937,0.9996474,0.20016646,0.00021876726778736872,0.0009473521095788653,0.08965577102999565,0.00021876726778736872,0,0,0,2024,1
0.4252780079841614,0.40396335124969485,0.016165764953906453,0.3841319680213928,0.0002752832,0.00019224054,0.000107551634,0.9999373,0.6004108,7.692196727322018e-05,0.00011631570808309094,0.2475103639005368,7.692196727322018e-05,0,0,1,2024,1
0.6674466729164124,0.6161872506141662,0.02625407895225421,0.5933259725570679,0.01008595,0.0039792303,0.004216758,0.9999784,0.4026186,0.0024192138451712758,0.006136129337171337,0.243941712429963,0.0024192138451712758,0,0,0,2024,1
0.7461612224578857,0.6957562565803528,0.03737673877091578,0.651134729385376,0.002178841,0.00045666634,0.0008611571,0.9998745,0.2091186,0.000322203566967916,0.0015393352057188614,0.1503612398916474,0.000322203566967916,0,0,1,2024,1
0.8234809041023254,0.7533262610435486,0.051620835607584924,0.7010957598686218,0.9982438,0.20128193,0.3984922,0.6434574,0.12871656,0.1657205973763533,0.8220347141409832,0.09201116734684843,0.1657205973763533,1,0,0,2024,1
0.5619882345199585,0.519410640001297,0.029581378481286124,0.49074703454971313,9.508273e-05,4.878646e-05,3.2302763e-05,0.9999691,0.40441447,2.5478092403914617e-05,4.666156812552875e-05,0.2155639621939307,2.5478092403914617e-05,0,0,0,2024,1
0.6748473048210144,0.6387701869010926,0.027524068343880312,0.595004677772522,0.0006834944,0.00027621572,0.00022255522,0.99479866,0.3873404,0.000171839340993504,0.00040668235207058645,0.2356427294811126,0.000171839340993504,0,0,0,2024,1
0.7077749967575073,0.6060751914978028,0.07127369663522523,0.5356415510177612,0.0009354961,0.0002860843,0.00035158632,0.9955865,0.19947256,0.00019643806347538085,0.0006621207647935154,0.10687868052099922,0.00019643806347538085,0,0,0,2024,1
0.6879929900169373,0.5075347423553467,0.09216406922285832,0.4454423189163208,0.0007704246,0.00020224016,0.00028485415,0.9989349,0.1998556,0.00010305107349640826,0.0003833685809974813,0.09180153041748038,0.00010305107349640826,0,0,1,2024,1
0.5557142496109009,0.5451193928718567,0.007686595138793057,0.534872829914093,0.00094932003,0.00034609262,0.00036133904,0.9878057,0.19802615,0.00018637556426352714,0.0005106524594615941,0.11004044896025052,0.00018637556426352714,0,0,0,2024,1
0.5274395942687988,0.4775018334388733,0.025812297032777282,0.4567936658859253,0.00079095596,0.00025692265,0.00030516778,0.99996555,0.40090695,0.00011782047047498775,0.0003613036745672704,0.20066231129039566,0.00011782047047498775,0,0,0,2024,1
0.4156229496002197,0.40572710037231446,0.008257674963875241,0.3949487507343292,0.00021222282,0.00011814087,6.580855e-05,0.99823254,0.20085724,4.830329292786772e-05,8.820467356302278e-05,0.08046825963235693,4.830329292786772e-05,0,0,1,2024,1
0.5821312665939331,0.5577948689460754,0.022088382981401745,0.530834972858429,0.00239393,0.00052901584,0.00093252293,0.9944829,0.20332,0.000298355055919608,0.0013517441225371352,0.11757629104291918,0.000298355055919608,0,0,1,2024,1
0.7482028007507324,0.6465141654014588,0.05811393424050951,0.5774688720703125,0.0029906894,0.0011901724,0.0013530924,0.00020594895,6.413283e-05,0.0008155796441346432,0.0020165748535233563,3.821700179199452e-05,0.0008155796441346432,0,0,0,2024,1
